MATCH,MATCH2,PLAYER,TEAM,NAME,POS,PC ,PA ,PC/PA,PR,MIN,GS,SG,S,FC,FS,DC,D_IN_POSS,D_NOT_IN_POSS,T_OPP_HALF,T_ATT_3RD,T_PEN_AREA,SPRINT,MAX_SPEED,A_L,A_M,A_H,Goals_scored,Attempts_on_off_target,Assists,Offsides,Saves,Yellow_cards,Red_card,Fouls_committed,Delivery_solo_runs_attacking3rd,Delivery_solo_runs_penalty_area,Tackles_gaining_the_ball,Tackles_not_gaining_the_ball,Tackles_suffered_losing_the_ball,Tackles_suffered_not_losing_the_ball,Clearances_Completed,Clearances_Attempted,Total_time_played_mins,Low_activity_time_spent,Medium_activity_time_spent,High_activity_time_spent,Distance_covered_m,Low_ADC_m,Medium_ADC_m,High_ADC_m,Top_Speed,Sprints
45,45,6,POR,RICARDO CARVALHO ,D ,33,40,83,31,90,0,0,0,0,0,9567,2909,4868,7,4,2,48,19.25,86,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,7,POR,CRISTIANO RONALDO ,F ,14,33,42,31,90,0,1,7,1,2,9095,3242,4209,66,21,3,94,28.11,86,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,10,POR,DANNY ,F ,17,25,68,20,90,0,1,1,1,2,11744,3725,5857,44,21,6,193,26.17,74,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,15,POR,PEPE ,M ,22,33,67,19,64,0,0,1,2,2,7573,1892,4254,17,2,1,80,22.47,81,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,16,POR,RAUL MEIRELES ,M ,20,30,67,23,84,0,0,1,2,0,10008,3028,5353,35,8,,134,25.99,78,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,19,POR,TIAGO ,M ,31,41,76,36,90,0,0,1,3,5,11545,3314,6300,31,10,2,154,23.16,76,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,21,POR,RICARDO COSTA ,D ,26,34,76,19,90,0,0,0,0,0,9688,2913,5037,17,4,,84,26.57,83,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,23,POR,FABIO COENTRAO ,D ,38,49,78,30,90,0,0,0,2,1,9509,2706,4919,11,2,,100,26.35,85,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,8,POR,PEDRO MENDES ,M ,8,11,73,7,26,0,0,0,0,0,3602,955,2027,14,,,27,19.06,77,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,11,POR,SIMAO ,F ,9,15,60,5,36,0,1,1,0,1,4371,1430,2238,43,20,1,33,22.07,79,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,14,POR,MIGUEL VELOSO ,M ,2,4,50,3,6,0,0,0,0,1,1231,239,726,17,4,,11,19.54,80,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,1,BRA,JULIO CESAR ,GK ,20,24,83,7,90,0,0,0,0,0,3814,1628,1044,,,,2,15.62,99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,2,BRA,MAICON ,D ,67,81,83,58,90,0,0,1,2,1,9154,4140,3164,44,11,,141,24.32,84,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,3,BRA,LUCIO ,D ,57,64,89,50,90,0,1,2,1,1,8816,4118,2802,17,1,,73,24.46,87,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,4,BRA,JUAN ,D ,48,55,87,47,90,0,0,0,1,0,7855,3497,2747,8,2,1,54,22.05,90,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,5,BRA,FELIPE MELO ,M ,57,61,93,55,44,0,0,0,2,1,4838,2502,1470,44,7,1,35,19.15,81,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,6,BRA,MICHEL BASTOS ,D ,60,72,83,58,90,0,0,2,3,0,10138,5017,3200,45,11,,106,29,82,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,8,BRA,GILBERTO SILVA ,M ,93,102,91,91,90,0,0,1,1,1,10714,5217,3553,43,5,,109,22.98,81,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,9,BRA,LUIS FABIANO ,F ,17,25,68,22,85,0,1,3,1,1,7961,4108,2361,88,55,7,58,21.67,89,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,13,BRA,DANI ALVES ,D ,62,82,76,75,90,0,1,5,1,3,11209,5733,3239,75,34,1,119,25.99,78,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,19,BRA,JULIO BAPTISTA ,M ,41,51,80,48,82,0,0,1,2,2,9200,4978,2699,72,31,2,75,20.83,80,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,21,BRA,NILMAR ,F ,15,24,63,23,90,0,1,3,1,0,9808,5121,2847,81,51,8,95,22.85,85,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,17,BRA,JOSUE ,M ,51,58,88,50,46,0,0,0,1,0,6085,2883,2058,48,10,,67,21.36,77,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,18,BRA,RAMIRES ,M ,4,8,50,9,8,0,1,1,2,0,1543,910,285,78,33,3,18,18.36,76,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,23,BRA,GRAFITE ,F ,4,5,80,3,5,0,0,0,0,0,1087,692,150,89,74,14,13,19.77,77,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,16,CMR,Hamidou SOULEYMANOU ,GK ,36,61,59,25,90,0,0,0,0,0,3934,1643,1468,,,,11,18.73,98,1,1,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,"93'11""",0.98,0.01,0.01,3934,3413,241,282,18.73,11
44,44,2,CMR,Benoit ASSOU-EKOTTO ,D ,44,58,76,33,90,0,0,0,1,2,8828,3538,3665,23,5,,96,20.75,87,7,6,0,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,"93'11""",0.87,0.07,0.06,8828,5742,1194,1893,20.75,96
44,44,3,CMR,Nicolas NKOULOU ,D ,40,50,80,32,73,0,0,0,2,1,7169,3128,2881,10,,,59,20.27,86,7,7,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,"73'56""",0.86,0.07,0.07,7169,4644,1071,1453,20.27,59
44,44,7,CMR,Landry NGUEMO ,M ,47,63,75,50,90,0,0,3,4,3,11173,5050,4412,68,21,3,112,20.93,78,10,12,0,1,0,0,0,0,0,4,10,0,0,0,0,0,0,0,"93'11""",0.78,0.1,0.12,11173,5661,2044,3469,20.93,112
44,44,8,CMR,GEREMI ,D ,43,66,65,44,90,0,0,1,2,0,10013,3992,4180,35,13,,130,22.6,82,8,10,0,0,0,0,0,0,0,2,7,4,0,0,0,0,0,0,"93'11""",0.82,0.08,0.1,10013,5380,1655,2977,22.6,130
44,44,9,CMR,Samuel ETOO ,F ,21,35,60,34,90,1,1,2,0,2,8292,3731,2948,92,48,9,85,19.05,88,6,6,1,1,0,3,0,0,0,0,2,2,0,0,1,2,0,0,"93'11""",0.88,0.06,0.06,8292,5483,1046,1763,19.05,85
44,44,11,CMR,Jean MAKOUN ,M ,48,63,76,51,90,0,1,3,2,2,9683,4379,3743,53,18,3,69,19.06,81,10,9,0,3,0,0,0,0,0,2,10,0,0,0,0,0,0,0,"93'11""",0.81,0.1,0.09,9683,5386,1757,2540,19.06,69
